code,name,ktype,fq,tdate,open,close,high,low,cjl,cje,hsl
"""股票代码""","""股票名称""","""K线类别""","""复权信息，除沪深京A股、B股、港股外，其余复权值默认为前复权""","""交易时间""","""开盘价""","""收盘价""","""最高价""","""最低价""","""成交量""","""成交额""","""换手率"""
300210,森远股份,101,0,2022-07-15,3.44,3.36,3.53,3.35,80275.0,2.73452E7,1.94
300211,亿通科技,101,0,2022-07-15,8.43,8.32,8.55,8.27,21017.0,1.76926E7,0.71
300212,易华录,101,0,2022-07-15,16.47,16.12,16.71,16.12,102004.0,1.66944E8,1.63
300213,佳讯飞鸿,101,0,2022-07-15,5.44,5.27,5.46,5.27,72968.0,3.89724E7,1.33
300214,日科化学,101,0,2022-07-15,7.67,7.46,7.69,7.46,61095.0,4.59822E7,1.5
300215,电科院,101,0,2022-07-15,7.09,6.99,7.1,6.9,114041.0,7.9724496E7,2.22
300217,东方电热,101,0,2022-07-15,6.4,6.73,6.92,6.37,766727.0,5.12763008E8,7.68
300218,安利股份,101,0,2022-07-15,12.35,12.34,12.64,12.12,57245.0,7.08202E7,2.69
300219,鸿利智汇,101,0,2022-07-15,8.16,8.13,8.35,7.97,94704.0,7.7543E7,1.54
300220,金运激光,101,0,2022-07-15,12.0,12.06,12.37,11.93,30341.0,3.66755E7,2.01
300221,银禧科技,101,0,2022-07-15,5.13,5.01,5.17,5.01,59055.0,2.99449E7,1.35
300222,科大智能,101,0,2022-07-15,8.45,8.16,8.53,8.14,237291.0,1.97538E8,3.79
300223,北京君正,101,0,2022-07-15,88.17,89.79,92.27,87.14,89099.0,8.0667098E8,2.18
300224,正海磁材,101,0,2022-07-15,15.45,15.7,16.2,15.31,342171.0,5.4095699E8,4.21
300225,金力泰,101,0,2022-07-15,6.39,6.19,6.41,6.19,58881.0,3.71058E7,1.25
300226,上海钢联,101,0,2022-07-15,21.26,20.75,21.35,20.74,26386.0,5.54597E7,1.03
300227,光韵达,101,0,2022-07-15,7.18,7.07,7.28,7.06,55563.0,3.9858E7,1.39
300228,富瑞特装,101,0,2022-07-15,6.56,6.32,6.65,6.3,140830.0,9.0599E7,2.59
300229,拓尔思,101,0,2022-07-15,11.52,11.32,11.58,11.25,113190.0,1.29161E8,1.59
300230,永利股份,101,0,2022-07-15,3.74,3.63,3.75,3.63,67888.0,2.49112E7,1.07
300231,银信科技,101,0,2022-07-15,7.24,7.04,7.27,7.03,63426.0,4.51519E7,1.73
300232,洲明科技,101,0,2022-07-15,6.33,6.18,6.34,6.17,88285.0,5.50876E7,1.01
300233,金城医药,101,0,2022-07-15,28.2,28.01,28.71,27.91,54870.0,1.54752E8,1.52
300234,开尔新材,101,0,2022-07-15,6.36,6.14,6.36,6.13,87598.0,5.42842E7,2.64
300235,方直科技,101,0,2022-07-15,10.19,10.05,10.32,10.03,22512.0,2.28218E7,1.96
300236,上海新阳,101,0,2022-07-15,31.5,30.87,31.92,30.86,18656.0,5.86644E7,0.6
300237,美晨生态,101,0,2022-07-15,2.55,2.44,2.55,2.44,430032.0,1.0713E8,2.99
300238,冠昊生物,101,0,2022-07-15,13.67,13.35,13.73,13.33,25949.0,3.50254E7,0.98
300239,东宝生物,101,0,2022-07-15,7.52,7.11,7.52,7.1,179620.0,1.29841E8,3.52
300240,飞力达,101,0,2022-07-15,8.03,7.92,8.14,7.87,67698.0,5.40065E7,1.86
300241,瑞丰光电,101,0,2022-07-15,5.26,5.14,5.32,5.13,78471.0,4.07426E7,1.38
300242,佳云科技,101,0,2022-07-15,3.08,2.94,3.08,2.93,124720.0,3.72394E7,1.99
300243,瑞丰高材,101,0,2022-07-15,9.83,9.51,9.83,9.51,19341.0,1.86494E7,1.02
300244,迪安诊断,101,0,2022-07-15,30.67,30.04,30.8,30.01,65380.0,1.98044992E8,1.34
300245,天玑科技,101,0,2022-07-15,7.79,7.5,7.86,7.48,68484.0,5.2251E7,2.21
300246,宝莱特,101,0,2022-07-15,15.37,15.07,15.48,15.03,11464.0,1.74007E7,1.04
300247,融捷健康,101,0,2022-07-15,3.37,3.28,3.37,3.27,173835.0,5.78031E7,2.16
300248,新开普,101,0,2022-07-15,9.03,8.75,9.03,8.71,79839.0,7.0622E7,1.97
300249,依米康,101,0,2022-07-15,9.36,9.29,9.84,9.24,225858.0,2.13795008E8,7.06
300250,初灵信息,101,0,2022-07-15,13.19,12.92,13.27,12.68,79835.0,1.03686E8,5.01
300251,光线传媒,101,0,2022-07-15,8.31,8.12,8.45,8.12,128687.0,1.06402E8,0.46
300252,金信诺,101,0,2022-07-15,7.7,7.43,7.7,7.43,53449.0,4.02074E7,1.21
300253,卫宁健康,101,0,2022-07-15,8.13,7.93,8.18,7.93,147930.0,1.19018E8,0.8
300254,仟源医药,101,0,2022-07-15,7.32,6.9,7.33,6.88,101715.0,7.137E7,4.83
300255,常山药业,101,0,2022-07-15,6.23,6.0,6.24,6.0,94340.0,5.73234E7,1.38
300256,*ST星星,101,0,2022-07-15,2.62,2.59,2.69,2.57,260542.0,6.8078E7,2.72
300257,开山股份,101,0,2022-07-15,15.08,14.78,15.15,14.72,33703.0,5.03107E7,0.35
300258,精锻科技,101,0,2022-07-15,11.46,11.81,11.9,11.45,47736.0,5.62789E7,1.03
300259,新天科技,101,0,2022-07-15,3.69,3.6,3.7,3.6,87507.0,3.1778E7,1.08
300260,新莱应材,101,0,2022-07-15,58.6,60.98,65.0,58.1,66908.0,4.12796992E8,4.43
300261,雅本化学,101,0,2022-07-15,14.45,13.98,14.45,13.91,498765.0,7.0509402E8,5.26
300262,巴安水务,101,0,2022-07-15,3.0,2.97,3.04,2.95,89351.0,2.67278E7,1.8
300263,隆华科技,101,0,2022-07-15,8.74,8.6,8.83,8.58,166950.0,1.45336E8,2.16
300264,佳创视讯,101,0,2022-07-15,5.56,5.38,5.58,5.38,113567.0,6.18371E7,3.19
300265,通光线缆,101,0,2022-07-15,9.41,9.34,9.59,9.3,70665.0,6.6358E7,1.94
300266,兴源环境,101,0,2022-07-15,4.13,3.95,4.18,3.94,550306.0,2.20376E8,3.54
300267,尔康制药,101,0,2022-07-15,3.37,3.29,3.38,3.29,228945.0,7.60734E7,1.61
300268,佳沃食品,101,0,2022-07-15,30.61,30.01,30.78,29.61,32192.0,9.70498E7,2.41
300269,ST联建,101,0,2022-07-15,3.19,3.21,3.24,3.05,137177.0,4.34766E7,2.65
300270,中威电子,101,0,2022-07-15,5.83,5.63,5.94,5.6,41537.0,2.38364E7,2.03
300271,华宇软件,101,0,2022-07-15,6.98,6.72,6.98,6.7,152680.0,1.03862E8,2.21
300272,开能健康,101,0,2022-07-15,5.72,5.55,5.8,5.55,65370.0,3.70009E7,1.59
300273,*ST和佳,101,0,2022-07-15,1.96,1.85,1.97,1.85,228144.0,4.30342E7,3.64
300274,阳光电源,101,0,2022-07-15,125.0,125.15,129.14,122.22,409381.0,5.1555502E9,3.63
300275,梅安森,101,0,2022-07-15,13.57,13.19,13.59,13.18,60350.0,8.0727504E7,4.12
300276,三丰智能,101,0,2022-07-15,4.17,4.03,4.18,4.02,166118.0,6.7785696E7,1.76
300277,海联讯,101,0,2022-07-15,7.12,6.87,7.12,6.87,35411.0,2.46711E7,1.06
300278,华昌达,101,0,2022-07-15,5.0,4.81,5.01,4.77,126348.0,6.17627E7,0.98
300279,和晶科技,101,0,2022-07-15,6.13,5.98,6.13,5.96,87967.0,5.31192E7,2.0
300280,紫天科技,101,0,2022-07-15,20.83,20.3,20.96,20.21,27619.0,5.66888E7,1.72
300281,金明精机,101,0,2022-07-15,5.74,5.62,5.76,5.6,35193.0,1.995E7,0.89
300282,ST三盛,101,0,2022-07-15,2.93,2.84,2.93,2.84,96086.0,2.77366E7,2.57
300283,温州宏丰,101,0,2022-07-15,6.15,6.02,6.17,6.01,45764.0,2.77543E7,1.53
300284,苏交科,101,0,2022-07-15,6.68,6.44,6.68,6.44,195406.0,1.27298E8,2.3
300285,国瓷材料,101,0,2022-07-15,31.95,32.25,33.08,31.77,48711.0,1.58623008E8,0.62
300286,安科瑞,101,0,2022-07-15,29.0,28.39,29.68,28.29,16066.0,4.64966E7,0.92
300287,飞利信,101,0,2022-07-15,3.92,3.74,3.92,3.74,350787.0,1.331E8,2.85
300288,朗玛信息,101,0,2022-07-15,9.88,9.43,9.88,9.42,48052.0,4.61009E7,1.94
300289,利德曼,101,0,2022-07-15,6.33,6.12,6.34,6.12,69554.0,4.29049E7,1.68
300290,荣科科技,101,0,2022-07-15,4.18,4.06,4.19,4.0,89406.0,3.63947E7,1.46
300291,百纳千成,101,0,2022-07-15,4.38,4.23,4.4,4.23,101606.0,4.33796E7,1.31
300292,吴通控股,101,0,2022-07-15,3.38,3.3,3.39,3.28,225650.0,7.4800896E7,2.04
300293,蓝英装备,101,0,2022-07-15,10.11,9.91,10.11,9.82,38785.0,3.85388E7,1.38
300294,博雅生物,101,0,2022-07-15,34.07,33.93,34.67,33.9,34277.0,1.17371E8,0.8
300295,三六五网,101,0,2022-07-15,8.9,8.5,8.95,8.4,98814.0,8.4650496E7,5.96
300296,利亚德,101,0,2022-07-15,6.42,6.36,6.46,6.31,246723.0,1.57418E8,1.18
300297,*ST蓝盾,101,0,2022-07-15,2.1,2.02,2.14,2.0,416556.0,8.4816096E7,3.34
300298,三诺生物,101,0,2022-07-15,29.46,29.1,29.88,29.07,11133.0,3.27311E7,0.24
300299,富春股份,101,0,2022-07-15,6.0,5.72,6.0,5.71,154716.0,9.01984E7,2.39
300300,海峡创新,101,0,2022-07-15,4.1,3.91,4.1,3.88,176504.0,6.98072E7,2.63
300301,*ST长方,101,0,2022-07-15,1.72,1.68,1.74,1.66,168044.0,2.84587E7,2.13
300302,同有科技,101,0,2022-07-15,7.83,7.53,7.83,7.53,40549.0,3.09489E7,1.15
300303,聚飞光电,101,0,2022-07-15,4.51,4.39,4.51,4.38,201750.0,8.9227696E7,1.61
300304,云意电气,101,0,2022-07-15,5.25,5.17,5.34,5.16,93580.0,4.92125E7,1.1
300305,裕兴股份,101,0,2022-07-15,13.64,13.5,13.83,13.47,26648.0,3.63131E7,1.15
300306,远方信息,101,0,2022-07-15,11.9,11.35,11.9,11.26,128790.0,1.48882E8,8.48
300307,慈星股份,101,0,2022-07-15,5.88,5.79,6.11,5.78,138699.0,8.18604E7,1.8
300308,中际旭创,101,0,2022-07-15,29.34,29.23,29.59,29.08,115532.0,3.39004992E8,1.55
300309,*ST吉艾,101,0,2022-07-15,1.72,1.66,1.74,1.66,258548.0,4.39441E7,3.06
300310,宜通世纪,101,0,2022-07-15,4.1,3.96,4.12,3.96,180734.0,7.2583296E7,2.61
300311,任子行,101,0,2022-07-15,6.44,6.23,6.48,6.22,190115.0,1.20001E8,3.55
300313,ST天山,101,0,2022-07-15,6.53,7.01,7.66,6.51,89876.0,6.33858E7,4.88
300314,戴维医疗,101,0,2022-07-15,10.91,11.24,11.35,10.61,66022.0,7.32776E7,3.49
300315,掌趣科技,101,0,2022-07-15,3.13,3.08,3.14,3.07,240264.0,7.4289296E7,0.91
300316,晶盛机电,101,0,2022-07-15,69.93,68.47,71.19,68.1,73593.0,5.11288992E8,0.61
300317,珈伟新能,101,0,2022-07-15,6.7,6.66,6.83,6.55,271806.0,1.81931008E8,3.53
300318,博晖创新,101,0,2022-07-15,6.3,6.12,6.33,6.11,74909.0,4.63313E7,0.94
300319,麦捷科技,101,0,2022-07-15,8.39,9.39,9.85,8.22,701474.0,6.4692301E8,9.42
300320,海达股份,101,0,2022-07-15,13.3,12.86,13.59,12.86,115301.0,1.51716992E8,2.33
